,Hotel_Name,Rate,Governorate
131,Monica Hotel,5,Dahab
132,Best View Pyramids Hotel,4.5,Giza
133,Great Pyramid Inn,4.5,Giza
134,Pyramids View Inn,4.5,Giza
135,"Marriott Mena House, Cairo",4.5,Giza
136,Safir Hotel Cairo,4.5,Giza
137,Four Seasons Hotel Cairo at the First Residence,4.5,Giza
138,Steigenberger Pyramids Cairo,4.5,Giza
139,Hyatt Regency Cairo West,5,Giza
140,Hayat Pyramids View Hotel,4,Giza
141,Pyramids Planet Hotel,5,Giza
142,Giza Pyramids View Inn,5,Giza
143,Panorama Pyramids Inn,4.5,Giza
144,Sheraton Cairo Hotel & Casino,4,Giza
145,Grand Pyramids Hotel,3.5,Giza
146,Mena Inn Pyramids,4,Giza
147,Horus Guest House Pyramids View,4.5,Giza
148,Desert Moon,4.5,Giza
149,Helnan Dreamland Hotel,4,Giza
150,Indiana Hotel Cairo,3,Giza
151,Ramosa Guest House,4.5,Giza
152,Swiss Inn Nile Hotel,3.5,Giza
153,Pyramisa Suites Hotel Cairo,3.5,Giza
154,Magic Golden Pyramids Inn,5,Giza
155,Sunshine Pyramids View,4,Giza
156,Horizon Shahrazad Hotel,3,Giza
157,Aracan Pyramids Hotel,3.5,Giza
158,Sahara Pyramids Inn,4,Giza
159,Pyramids Park Resort,3,Giza
160,Tut Pyramids View Hotel,5,Giza
161,Gawharet Al Ahram Hotel,3,Giza
162,Serenity Fun City,4.5,Hurghada
163,Jaz Casa Del Mar Beach,5,Hurghada
164,Jaz Casa Del Mar Resort,5,Hurghada
165,Premier Le Reve Hotel & Spa,5,Hurghada
166,Steigenberger Pure Lifestyle Hotel,5,Hurghada
167,Sheraton Miramar Resort El Gouna,4.5,Hurghada
168,Meraki Resort,4.5,Hurghada
169,Baron Palace Sahl Hasheesh,5,Hurghada
170,Serenity Makadi Beach,4.5,Hurghada
171,Jungle Aqua Park,4.5,Hurghada
172,Sunrise Royal Makadi Resort,4.5,Hurghada
173,Hilton Hurghada Plaza,4.5,Hurghada
174,Steigenberger Aqua Magic,4.5,Hurghada
175,Sunrise Garden Beach Resort,4.5,Hurghada
176,Prima Life Makadi Hotel,4.5,Hurghada
177,Hurghada Marriott Beach Resort,4.5,Hurghada
178,SUNRISE Aqua Joy Resort,4.5,Hurghada
179,Arabia Azur Resort,4.5,Hurghada
180,Bel Air Azur Resort,4.5,Hurghada
181,The Three Corners Rihana Resort,4.5,Hurghada
182,Royal Star Beach Resort,4.5,Hurghada
183,The Oberoi Beach Resort Sahl Hasheesh,5,Hurghada
184,Minamark Beach Resort,4,Hurghada
185,Jasmine Palace Resort & Spa,4,Hurghada
186,"Fort Arabesque Resort, Spa & Villas",4,Hurghada
187,Hawaii Le Jardin Aqua Resort,4,Hurghada
188,Hotelux Marina Beach Resort,4,Hurghada
189,ZYA Regina Resort and Aqua Park Hurghada,4,Hurghada
190,Arabella Azur Resort,4.5,Hurghada
191,Jaz Aquaviva,4.5,Hurghada
192,Steigenberger Nile Palace Luxor Hotel,4.5,Luxor
193,Sofitel Winter Palace Luxor,4.5,Luxor
194,Hilton Luxor Resort & Spa,5,Luxor
195,Sonesta St. George Hotel Luxor,4.5,Luxor
196,Steigenberger Resort Achti,4,Luxor
197,Nefertiti Hotel,4.5,Luxor
198,"Jolie Ville Hotel & Spa - Kings Island, Luxor",4.5,Luxor
199,Pavillon Winter Luxor,4.5,Luxor
200,Venus Hotel,5,Luxor
201,Iberotel Luxor,4,Luxor
202,Amon Hotel Luxor,4.5,Luxor
203,New Memnon Hotel,5,Luxor
204,El Mesala Hotel,4.5,Luxor
205,Hotel Sheherazade,4.5,Luxor
206,Al Moudira Hotel,4.5,Luxor
207,Pyramisa Hotel Luxor,3.5,Luxor
208,Aracan Eatabe Luxor Hotel,4,Luxor
209,Shady Hotel Luxor,4,Luxor
210,Jewel of the Valley Howard Carter Hotel,5,Luxor
211,Cleopatra Hotel Luxor,4.5,Luxor
212,Embrace Hotel,4.5,Luxor
213,Happy Land Hotel,4.5,Luxor
214,Rezeiky Camp & Hotel Luxor,4.5,Luxor
215,El Nakhil Hotel,4.5,Luxor
216,El Gezira Garden Hotel,4.5,Luxor
217,Bob Marley House Hostel,4.5,Luxor
218,Al Hambra Hotel,4.5,Luxor
219,Al Baeirat Hotel,4.5,Luxor
220,Nile Compound,4.5,Luxor
221,Desert Paradise Lodge,5,Luxor
222,Iberotel Costa Mares,5,Marsa_Alam
223,Jaz Maraya,5,Marsa_Alam
224,The Three Corners Equinox Beach Resort,4.5,Marsa_Alam
225,Royal Marsa & Aqua Park,4.5,Marsa_Alam
226,Steigenberger Resort Alaya,5,Marsa_Alam
227,The Three Corners Sea Beach Resort,4.5,Marsa_Alam
228,Sataya Resort Marsa Alam,4.5,Marsa_Alam
229,Three Corners Fayrouz Plaza Beach Resort,4.5,Marsa_Alam
230,Steigenberger Coraya Beach,5,Marsa_Alam
231,The Three Corners Happy Life Beach Resort,4.5,Marsa_Alam
232,Solymar Reef Marsa,4.5,Marsa_Alam
233,Hilton Marsa Alam Nubian Resort,4.5,Marsa_Alam
234,Concorde Moreen Beach Resort & Spa,4.5,Marsa_Alam
235,Jaz Dar El Madina,4.5,Marsa_Alam
236,Jaz Grand Marsa,4.5,Marsa_Alam
237,Moevenpick Resort El Quseir,4.5,Marsa_Alam
238,Jaz Solaya,4.5,Marsa_Alam
239,Jaz Lamaya Resort,4.5,Marsa_Alam
240,Hotelux Oriental Coast,4.5,Marsa_Alam
241,Albatros Sea World Marsa Alam,4.5,Marsa_Alam
242,Lazuli Hotel Marsa Alam,4.5,Marsa_Alam
243,Brayka Bay Resort,4.5,Marsa_Alam
244,Bliss Nada Beach Resort,4,Marsa_Alam
245,Pense Royal Garden,3.5,Marsa_Alam
246,Radisson Blu Resort El Quseir,4.5,Marsa_Alam
247,Deep Blue Inn,4.5,Marsa_Alam
248,The Oasis,4.5,Marsa_Alam
249,Shams Alam Beach Resort,4,Marsa_Alam
250,Jaz Samaya Resort,4.5,Marsa_Alam
251,Marsa Shagra,4.5,Marsa_Alam
252,Jaz Almaza Beach Resort,4.5,Mersa_Matruh
253,Carols Beau Rivage,4,Mersa_Matruh
254,Porto Matrouh Beach Resort,4,Mersa_Matruh
255,Adriatica Hotel,4.5,Mersa_Matruh
256,Belle Vue Hotel by Beau Site,3.5,Mersa_Matruh
257,Almanara Hotel Marsa Matrouh,5,Mersa_Matruh
258,Porto Said Resort & Spa,4,Port_Said
259,Jewel El Gameel Hotel,5,Port_Said
260,La Poste Hotel,3,Port_Said
261,Resta Port Said Hotel,3,Port_Said
262,Aracan Hotel,3,Port_Said
263,Savoy Sharm El Sheikh,4.5,Sharm_El_Sheikh
264,Steigenberger Alcazar,5,Sharm_El_Sheikh
265,Rixos Sharm El Sheikh,5,Sharm_El_Sheikh
266,Stella Di Mare Beach Hotel & Spa,5,Sharm_El_Sheikh
267,Royal Savoy - Sharm El Sheikh,5,Sharm_El_Sheikh
268,SUNRISE Arabian Beach Resort - Grand Select,4.5,Sharm_El_Sheikh
269,Solymar Naama Bay,5,Sharm_El_Sheikh
270,Aqua Blu Resort,4.5,Sharm_El_Sheikh
271,Labranda Sharm Club,4.5,Sharm_El_Sheikh
272,Iberotel Palace,4.5,Sharm_El_Sheikh
273,Sierra Sharm El Sheikh,4.5,Sharm_El_Sheikh
274,Baron Resort Sharm El Sheikh,4.5,Sharm_El_Sheikh
275,Sultan Gardens Resort,4.5,Sharm_El_Sheikh
276,Jaz Mirabel Beach,4.5,Sharm_El_Sheikh
277,Hilton Sharks Bay Resort,4.5,Sharm_El_Sheikh
278,Marina Sharm Hotel,4.5,Sharm_El_Sheikh
279,Xperience St. George Homestay,4.5,Sharm_El_Sheikh
280,Aurora Oriental Resort Sharm El Sheikh,4.5,Sharm_El_Sheikh
281,Coral Sea Sensatori Resort,4.5,Sharm_El_Sheikh
282,Four Seasons Resort Sharm El Sheikh,5,Sharm_El_Sheikh
283,Royal Albatros Moderna,4.5,Sharm_El_Sheikh
284,Charmillion Club Aqua Park,4.5,Sharm_El_Sheikh
285,Concorde El Salam Hotel Sharm El Sheikh,4.5,Sharm_El_Sheikh
286,Cleopatra Luxury Resort Sharm El Sheikh,4.5,Sharm_El_Sheikh
287,Sentido Reef Oasis Senses Resort,4.5,Sharm_El_Sheikh
288,Jaz Fanara Resort,4.5,Sharm_El_Sheikh
289,IL Mercato Hotel & Spa,4.5,Sharm_El_Sheikh
290,Amar Sina Boutique Village,3.5,Sharm_El_Sheikh
291,Naama Blue Hotel,4.5,Sharm_El_Sheikh
292,Falcon Naama Star,4,Sharm_El_Sheikh
