Hotel_Name,Location,Rate,Governorate
Swiss Inn Plaza,"Dreamland, Al wahat Road, 6th of October City",8,Cairo
City View Hotel,"1 El Bostan Street, Al-Tahrir Square, Cairo, 11513",8,Cairo
Lyly Hotel,"43 Sherif Basha, Cairo, Cairo Governorate",8,Cairo
Hilton Cairo Heliopolis,"EL-OROUBA, QISM EL-NOZHA, Cairo",8,Cairo
Royal Maxim Palace Kempinski Cairo,"Eastern Ring Road, New Cairo, 11477",8,Cairo
Golden Tulip Flamenco,"2 El Gezira El Wosta Street, Cairo, 11211",8,Cairo
Mena Inn Pyramids,"Abou Al Hool Al Seiahi, Pyramids, Giza, 12557",7.8,Cairo
"Holiday Inn Cairo Citystars, an IHG Hotel","Ali Rashid Street, Heliopolis, Cairo, 11757",7.8,Cairo
"Intercontinental Cairo Semiramis, an IHG Hotel","Corniche El Nil Street, Cairo, 11511",7.8,Cairo
Victory Of Downtown Hotel,"56 Kasr Al Nile, Cairo, 11518, Abdeen",7.8,Cairo
Tolip Golden Plaza,"Omar Ibn El khattab Street, Nasr City, Cairo",7.8,Cairo
St. George Hotel Cairo,"7 Radwan Ebn El-tabib, Giza, 12511, Giza Governorate",7.8,Cairo
Abdeen Palace Hotel,"2 Mohammed Sabri Abou Alam, 3rd floor, Cairo, Cairo Governorate",7.8,Cairo
Pharaohs Hotel,"12 Lotfi Hassouna Street, Giza, 12611, Giza Governorate",7.8,Cairo
Novotel Cairo El Borg,"3 Saraya El Gezira street, Cairo, 11111",7.6,Cairo
Pyramids Eyes Hotel,"Kafr Nassar Next to Kia Motors, Giza, Giza Governerate",7.6,Cairo
Barceló Cairo Pyramid,"229 Al Haram Road, Giza, 12111",7.6,Cairo
Amin hotel,"38 Falaky Square, Downtown, Cairo, 11311",7.6,Cairo
President Hotel,"22 Taha Hussein Str, Cairo",7.6,Cairo
The Square Boutique Hotel,"Talaat Harb Square Number 3, Cairo, 99999, Cairo Governorate",7.6,Cairo
Salma Hotel,"12 Moh. Kamel Morsi St., Giza, Giza Governorate",7.6,Cairo
Pyramids Sun Capital,"9 Abou Al Hool Al Seiahi, Giza, Giza Governorate",7.6,Cairo
The Gabriel,"Suncity mail, Autostrad Road, Cairo, 11335",7.6,Cairo
Minerva Grand Boutique,"39 Talat Harb, Cairo, 1164, Giza Governorate",7.6,Cairo
Dusit Thani LakeView Cairo,"The Lakeview, El Tesseen Street, New Cairo",7.6,Cairo
Gawharet Al Ahram Hotel,"103, Al Ahram St, Giza, 00202",7.6,Cairo
Azar Boutique Hotel,"09 Adly street, Cairo, 11111, Cairo",7.6,Cairo
Marvel Stone Hotel,"6 Gerier street, nazlet el semman, Giza, Giza, 12511",7.6,Cairo
Triumph Luxury Hotel,"New Cairo, New Cairo",7.6,Cairo
Le Passage Cairo Hotel & Casino,"Cairo Intl. Airport Road, Heliopolis, Cairo, 11361, Cairo Governorate",7.6,Cairo
hotel Velvet 1915,"2 Marouf Street, Cairo, 11552, Cairo Governorate",7.6,Cairo
Arabesque Hotel,"11 Ramses Street, Cairo, 15562",7.4,Cairo
New Star Zamalek Hotel,"34B Yehia Ibrahim, Cairo, 11561, Cairo",7.4,Cairo
Baron Hotel Cairo Heliopolis,"Ma'ahad Al Sahary Street, Cairo, 11361",7.4,Cairo
Triumph Plaza Hotel,"El Khalifa El Maamoun St. Heliopolis, Cairo, 258",7.4,Cairo
Cleopatra Hotel,"2 Al Bustan street, Downtown, Cairo, 11513, Egypt",7.4,Cairo
"Sonesta Hotel, Tower & Casino - Cairo","3 El Tayaran Street, Cairo",7.4,Cairo
Novotel Cairo Airport,"Salah Salem Highway, Cairo, 11776",7.2,Cairo
Cairo Pyramids Hotel,"Alexandria Road, Giza",7.2,Cairo
Al Masa Hotel,"Gameat Al Azhar, Qesm Than Madinet Nasr,, Cairo",7.2,Cairo
New President Hotel,"20 Taha Hussein st, Cairo",7.2,Cairo
Lotus Hotel,"12, Talaat Harb Street, Cairo",7.2,Cairo
Movenpick Hotel & Casino Cairo-Media City,"Wahat Road, 6th of October City, 12451",7.2,Cairo
New Panorama Hotel,"42 talaat.harb, Cairo, 11956, cairo",7.2,Cairo
Paris Hotel,"15 Talaat Harb Street, Cairo, 11111",7.2,Cairo
Royal Marshal Hotel,"4 El Khalifa El Maamoun St., Cairo, 11341, Egypt",7.2,Cairo
Grand Agor Hotel,"15 Sherif Street, Cairo, 11111",7.2,Cairo
Ramses Hilton,"1115 Corniche El Nile, Cairo, 12334",7,Cairo
Om Kolthoom Hotel & Tower,"5 Abu El Feda Street, Cairo",7,Cairo
Tut Pyramids View Hotel,"Gamal Abd El-nasir St., Giza, 12557",7,Cairo
Radisson Blu Hotel Cairo Heliopolis,"Abdel Hamid Badawy St, Cairo, 11787",7,Cairo
Hotel Velvet 1889,"118 Mohammed Farid, Cairo, Cairo Governorate",7,Cairo
Beirut Hotel,"56 Beirut Street, Cairo, Egypt",7,Cairo
Grand Palace Hotel,"14 Champollion Rd, Cairo, 11111",7,Cairo
Hilton Pyramids Golf,"Dreamland El Wahat Road,6th of October, 6th of October City, 2500",6.8,Cairo
Swiss Inn Hotel Cairo,"7 El Hegaz St. From Gamet El Dewal St., Giza, 12411",6.8,Cairo
Sydna All Hussain Hotel,"10 Al Aded, Cairo, Cairo Governorate",6.6,Cairo
Grand City Hotel,"Bostan Ibn Al Quraish El Tahrir Square, Cairo, 00202, Cairo Governorate",6.6,Cairo
Grand Nile Tower,"Corniche El Nil, Garden City, Cairo, 11519",6.6,Cairo
Oasis Hostel,"11 Ramsis St, 5th floor, Cairo, Cairo Governorate",6.6,Cairo
The Oasis Hotel Pyramids,"Cairo-Alexandria Desert Road, Giza",6.6,Cairo
Arabian Nights Hotel,"10 Al Aded Street off of Mansouria St., Cairo",6.6,Cairo
Sphinx Golden Gate Inn,"Building No 9 Sphinx Street, Giza, 12557, Giza Governorate",6.6,Cairo
Jewel Maadi Cabins and Club,"Maadi Corniche, Cairo, 11728, Cairo Governorate",6.6,Cairo
Hotel Velvet 1928,"8, Gawad Housny Street, Cairo, 02002, Cairo",6.6,Cairo
Maadi Hotel,"19 Misr Helwan Rd, Cairo, 11431, Egypt",6.4,Cairo
New City Hotel,"5 Talaat Harb, Cairo, Cairo Governorate",6.4,Cairo
Hotel Amarante Pyramids,"29 Abou Hazem Street, Giza, 112211",6.2,Cairo
Panorama Ramsis Hotel & Cafe,"10 Saif Al Din Mahrani, Cairo, 3111",6.2,Cairo
Helnan Nile Island Hotel,"67 Abdulaziz Al Saud, Cairo, Cairo Governorate",6,Cairo
Holidays Express Hotel,"2 Gamaat El Dowal El Arabia Street, Giza, 11511",6,Cairo
New Hotel,"21 Adly, Cairo, Cairo Governorate",6,Cairo
Grand Talat Harb Plaza,"Talat Harb Square, 2, Cairo, 11121, Cairo Governorate",6,Cairo
Jewel Maadi Cabins and Club,"Maadi Corniche, Cairo, 11728, Cairo Governorate",6.6,Cairo
Hotel Velvet 1928,"8, Gawad Housny Street, Cairo, 02002, Cairo",6.6,Cairo
Maadi Hotel,"19 Misr Helwan Rd, Cairo, 11431, Egypt",6.4,Cairo
New City Hotel,"5 Talaat Harb, Cairo, Cairo Governorate",6.4,Cairo
Hotel Amarante Pyramids,"29 Abou Hazem Street, Giza, 112211",6.2,Cairo
Panorama Ramsis Hotel & Cafe,"10 Saif Al Din Mahrani, Cairo, 3111",6.2,Cairo
Helnan Nile Island Hotel,"67 Abdulaziz Al Saud, Cairo, Cairo Governorate",6,Cairo
Holidays Express Hotel,"2 Gamaat El Dowal El Arabia Street, Giza, 11511",6,Cairo
New Hotel,"21 Adly, Cairo, Cairo Governorate",6,Cairo
Grand Talat Harb Plaza,"Talat Harb Square, 2, Cairo, 11121, Cairo Governorate",6,Cairo
Pyramids Park Resort Cairo,"Alexandria Desert Road-km 2.5, Giza, 12411",5.8,Cairo
Pyramisa Suites Hotel Cairo,"60 Giza Street, Giza, 12311",5.6,Cairo
Cairo Paradise Hotel,"41 Sherif Street, Cairo",5.6,Cairo
Grand Cairo Hotel,"5 Sherif El-Sagheer, Cairo, 11613, Cairo Governorate",5.4,Cairo
Aracan Pyramids Hotel,"198 El-Haram Street, Cairo, Giza, 12111",5.2,Cairo
New Hostgram Hotel,"26 Talaat Harb, Cairo, Cairo Governorate",5,Cairo
City Palace Hotel,"1 El Amir Qadadar Street , Tahrir Sq., Cairo",4.8,Cairo
Al Nabila Hotel,"4 Gameat el-Dowal el-Arabiya Street, Cairo",4.2,Cairo
Grand Lyly Hotel,"19 Adly street, Al Fawalah, Downtown, Cairo, Cairo Governorate",4,Cairo
Magic Golden Pyramids Inn,"El-Salam Street, Nazlet El-Saman, Giza, 12561, Giza Governorate",4,Cairo
Jewel Al Nasr Hotel & Apartments,"Rabaa al Adawiya Nasr City, Cairo, nasr city",4,Cairo
E2 Lodge Hotel Operated by Lemon Spaces,"North Extension of 3rd Industrial Zone, 6th of October City, 12566, Giza Governorate",3.4,Cairo
Claridge Hotel,"41 Talaat Harb, Cairo, 11613, Cairo Governorate",2,Cairo
Jewel Inn El Bakry Hotel,"47 Ibn Sender Street, Kobry El-Koba, Cairo, 11765, Cairo",2,Cairo
Jewel Dokki Hotel,"11 El-Batal Ahmed Abd El-Aziz, Giza, Giza Governorate",2,Cairo
Nour Elsabah Hotel,"6 Mamar Seket Elbadestan, Khan Elkhalili, Cairo, 11675",,Cairo
Pyramids View Apartments & Rooftop,"69 H Pyramids Gardens, Giza, 12345, Giza Governorate",,Cairo
Galaxy Royal Suites Hotel,"Abdulaziz Al Saud 67, Cairo, 11553",,Cairo
Abou 3Pyramids Plaza Hotel,"Al mansouria, Giza, 12511, Giza Governorate",,Cairo
100 Night per year at Grand Blue Hotels,"24 Mahmoud Basuony St., Cairo",,Cairo
Pyramid stars inn,"21 Elfareda Queen Street, Giza, Giza Governorate",,Cairo
Gresham,"20 Talaat Harb Street, Cairo",,Cairo
Pyramids Gardens Hotel,"Street 9, Giza, Giza Governorate",,Cairo
jasmine Hotel EL Manial,"137 Abdulaziz Al Saud Street, Cairo, 11451, Cairo Governorate",,Cairo
Royal Day Plaza Hotel,"Ramo Square, 6th of October City, Giza Governorate",,Cairo
Kanzy Hotel,"9 Abou Bakr El Seddik St., Giza, 12611",,Cairo
Joy Hotel,"31 Champollion Rd Talaat Harb, Cairo, Cairo, 11513, Cairo Governorate",,Cairo
Pyramids Tower,"21 Zagluol, Giza, 12512, Giza Governorate",,Cairo
Nile Island View hotel,Private host,,Cairo
the kheops pyramids view hotel and resort pyramids view best view such amazing..,Private host,,Cairo
Pyramid stars inn,"21 Elfareda Queen Street, Giza, Giza Governorate",,Cairo
Gresham,"20 Talaat Harb Street, Cairo",,Cairo
Pyramids Gardens Hotel,"Street 9, Giza, Giza Governorate",,Cairo
jasmine Hotel EL Manial,"137 Abdulaziz Al Saud Street, Cairo, 11451, Cairo Governorate",,Cairo
Royal Day Plaza Hotel,"Ramo Square, 6th of October City, Giza Governorate",,Cairo
Kanzy Hotel,"9 Abou Bakr El Seddik St., Giza, 12611",,Cairo
Joy Hotel,"31 Champollion Rd Talaat Harb, Cairo, Cairo, 11513, Cairo Governorate",,Cairo
Pyramids Tower,"21 Zagluol, Giza, 12512, Giza Governorate",,Cairo
Nile Island View hotel,Private host,,Cairo
the kheops pyramids view hotel and resort pyramids view best view such amazing..,Private host,,Cairo
Indiana Hotel Cairo,"Adel Hussein Rostom, Ad Doqi A, Ad, Giza, 12611, Giza Governorate",5.6,Cairo
Indiana Hotel Cairo,"Adel Hussein Rostom, Ad Doqi A, Ad, Giza, 12611, Giza Governorate",5.6,Cairo
Le Méridien Pyramids Hotel & Spa,"El Remaya Square-Pyramids, Giza, 12561",8.4,Cairo
Egypt Pyramids Inn,"1 Abou Al Hool Al Seiahi, Giza, Giza Governorate",8.4,Cairo
Pearl Hotel,"32, Streets 7, Maadi, Cairo, 11431",8.2,Cairo
New Cairo Heart Hotel,"17 Bustan Street, Cairo, 55101",8,Cairo
Pyramids Height Inn,"EMRO Al Kais, Giza, Giza Governorate",8,Cairo
Adonis Nile Cruise,"Maadi Corniche, Next to Al Shorouk Club, Turah, 11513, Cairo Governorate",8,Cairo
Hor Moheb Hotel,"429 Pyramids Road, Giza, 99999, Giza Governorate",10,Cairo
Great View Apartment,"60 Gamal Abd El-Nasir, Giza, 12557, Giza Governorate",10,Cairo
Cozy Studios Pyramids View,"20 Abou Al Hool Al Seiahi, Giza, 12557, Giza Governorate",8,Cairo
Happy City Hotel,"92 C Mohamed Farid St, Abdin, Cairo, 11121",8,Cairo
Pyramids Empire Inn,"Zawya Abou Muslim, Mansuriya Road, Giza, 12841, Giza Governorate",9,Cairo
Vibes Hostel & SPA,"Noaman Gomaa, Obour City, 11828, Qalyubia Governorate",10,Cairo
