Hotel_Name,Location,Rate,Governorate
Palma Hotel,"Atef Al-Sadat St., Port Said, 11211, Port Said Governorate",8,Port Said
De La Poste,"42 Gomheria Street, Port Said",6.4,Port Said
Jewel Port Said Hotel,"23 July Street, Tarh El Bahr Road, Port Said, 42511, Port Said Governorate",2,Port Said
Aracan Hotel,"Port Said, Port Said, Port Said Governorate",,Port Said
Porto Said Tourist Resort,"Port Said Governorate, Port Said Governorate",,Port Said
